年份,研究生培养机构数,普通高校研究生培养机构数,科研机构研究生培养机构数,普通高校数,本科院校数,专科院校数,职业技术学院数,成人高等学校数,民办的其他高等教育机构数_x,中央部委研究生培养机构数,中央部委普通高校研究生培养机构数,中央部委科研机构研究生培养机构数,中央部委普通高校数,中央部委本科院校数,中央部委专科院校数,中央部委职业技术学院数,中央部委成人高等学校数,中央部委民办的其他高等教育机构数,教育部研究生培养机构数,教育部普通高校研究生培养机构数,教育部科研机构研究生培养机构数,教育部普通高校数,教育部本科院校数,教育部专科院校数,教育部职业技术学院数,教育部成人高等学校数,教育部民办的其他高等教育机构数,其他部委研究生培养机构数,其他部委普通高校研究生培养机构数,其他部委科研机构研究生培养机构数,其他部委普通高校数,其他部委本科院校数,其他部委专科院校数,其他部委职业技术学院数,其他部委成人高等学校数,其他部委民办的其他高等教育机构数,地方研究生培养机构数,地方普通高校研究生培养机构数,地方科研机构研究生培养机构数,地方普通高校数,地方本科院校数,地方专科院校数,地方职业技术学院数,地方成人高等学校数,地方民办的其他高等教育机构数,教育部门研究生培养机构数,教育部门普通高校研究生培养机构数,教育部门科研机构研究生培养机构数,教育部门普通高校数,教育部门本科院校数,教育部门专科院校数,教育部门职业技术学院数,教育部门成人高等学校数,教育部门民办的其他高等教育机构数,非教育部门研究生培养机构数,非教育部门普通高校研究生培养机构数,非教育部门科研机构研究生培养机构数,非教育部门普通高校数,非教育部门本科院校数,非教育部门专科院校数,非教育部门职业技术学院数,非教育部门成人高等学校数,非教育部门民办的其他高等教育机构数,地方企业研究生培养机构数,地方企业普通高校研究生培养机构数,地方企业科研机构研究生培养机构数,地方企业普通高校数,地方企业本科院校数,地方企业专科院校数,地方企业职业技术学院数,地方企业成人高等学校数,地方企业民办的其他高等教育机构数,民办研究生培养机构数,民办普通高校研究生培养机构数,民办科研机构研究生培养机构数,民办普通高校数,民办本科院校数,民办专科院校数,民办职业技术学院数,民办成人高等学校数,民办的其他高等教育机构数_y
2011,755.0,481.0,274.0,2409.0,1129.0,1280.0,1143.0,353.0,830.0,333.0,98.0,235.0,111.0,108.0,3.0,2.0,14.0,,73.0,73.0,,73.0,73.0,,,1.0,,260.0,25.0,235.0,38.0,35.0,3.0,2.0,13.0,,422.0,383.0,39.0,1602.0,633.0,969.0,840.0,337.0,,363.0,362.0,1.0,969.0,574.0,395.0,333.0,123.0,,58.0,21.0,37.0,583.0,58.0,525.0,458.0,169.0,,1.0,,1.0,50.0,1.0,49.0,49.0,45.0,,,,,696.0,388.0,308.0,301.0,2.0,830.0
2010,797.0,481.0,316.0,2358.0,1112.0,1246.0,1113.0,365.0,836.0,374.0,98.0,276.0,111.0,108.0,3.0,2.0,14.0,,73.0,73.0,,73.0,73.0,,,1.0,,301.0,25.0,276.0,38.0,35.0,3.0,2.0,13.0,,423.0,383.0,40.0,1573.0,633.0,940.0,815.0,349.0,,361.0,360.0,1.0,854.0,542.0,312.0,255.0,128.0,,62.0,23.0,39.0,719.0,91.0,628.0,560.0,221.0,,,,,,,,,,,,,,674.0,371.0,303.0,296.0,2.0,836.0
2009,796.0,481.0,315.0,2305.0,1090.0,1215.0,1071.0,384.0,812.0,373.0,98.0,275.0,111.0,106.0,5.0,2.0,14.0,,73.0,73.0,,73.0,73.0,,,1.0,,300.0,25.0,275.0,38.0,33.0,5.0,2.0,13.0,,423.0,383.0,40.0,1538.0,614.0,924.0,790.0,368.0,,360.0,359.0,1.0,877.0,543.0,334.0,274.0,154.0,,63.0,24.0,39.0,661.0,71.0,590.0,516.0,214.0,,,,,,,,,,,,,,656.0,370.0,286.0,279.0,2.0,812.0
2008,796.0,479.0,317.0,2263.0,1079.0,1184.0,1036.0,400.0,866.0,374.0,98.0,276.0,111.0,106.0,5.0,2.0,14.0,,73.0,73.0,,73.0,73.0,,,1.0,,301.0,25.0,276.0,38.0,33.0,5.0,2.0,13.0,,422.0,381.0,41.0,1514.0,604.0,910.0,770.0,384.0,,359.0,358.0,1.0,859.0,533.0,326.0,260.0,159.0,,63.0,23.0,40.0,655.0,71.0,584.0,510.0,225.0,,,,,,,,,,,,,,638.0,369.0,269.0,264.0,2.0,866.0
2007,795.0,479.0,316.0,1908.0,740.0,1168.0,1015.0,413.0,906.0,371.0,98.0,273.0,111.0,106.0,5.0,,14.0,,73.0,73.0,,73.0,73.0,,,1.0,,298.0,25.0,273.0,38.0,33.0,5.0,,13.0,,424.0,381.0,43.0,1502.0,604.0,898.0,,397.0,,358.0,357.0,1.0,852.0,532.0,320.0,,161.0,,66.0,24.0,42.0,650.0,72.0,578.0,,236.0,,,,,,,,,,,,,,295.0,30.0,265.0,,2.0,
2006,767.0,450.0,317.0,1867.0,720.0,1147.0,981.0,444.0,994.0,371.0,97.0,274.0,111.0,105.0,6.0,,15.0,,73.0,73.0,,73.0,73.0,,,1.0,,298.0,24.0,274.0,38.0,32.0,6.0,,14.0,,396.0,353.0,43.0,1480.0,586.0,894.0,,427.0,,331.0,331.0,,853.0,517.0,336.0,,177.0,,65.0,22.0,43.0,627.0,69.0,558.0,,250.0,,,,,,,,,,,,,,276.0,29.0,247.0,,2.0,
2005,766.0,450.0,316.0,1792.0,701.0,1091.0,921.0,481.0,1077.0,370.0,97.0,273.0,111.0,104.0,7.0,,17.0,,73.0,73.0,,73.0,73.0,,,1.0,,297.0,24.0,273.0,38.0,31.0,7.0,,16.0,,396.0,353.0,43.0,1431.0,570.0,861.0,,462.0,,330.0,330.0,,834.0,505.0,329.0,,191.0,,66.0,23.0,43.0,597.0,65.0,532.0,,271.0,,,,,,,,,,,,,,250.0,27.0,223.0,,2.0,
2004,769.0,454.0,315.0,1731.0,684.0,1047.0,872.0,505.0,1187.0,369.0,97.0,272.0,111.0,104.0,7.0,,19.0,,73.0,73.0,,73.0,73.0,,,1.0,,296.0,24.0,272.0,38.0,31.0,7.0,,18.0,,400.0,357.0,43.0,1394.0,571.0,823.0,,484.0,,332.0,332.0,,799.0,500.0,299.0,,201.0,,68.0,25.0,43.0,595.0,71.0,524.0,,283.0,,,,,,,,,,,,,,226.0,9.0,217.0,,2.0,
2003,,,,1552.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,1396.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,1225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,1041.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
